Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%,
1,10/3/19,1,34-071,BOS_C,@,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,18:31,0,0,8,11,42.1,0:50
2,10/5/19,2,34-073,BOS_C,@,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,23,16:47,1,0,8,9,47.1,0:43
3,10/8/19,3,34-076,BOS_C,@,VEG,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0,23,18:33,0,1,15,6,71.4,0:48
4,10/10/19,4,34-078,BOS_C,@,COL,L,0,1,1,-1,0,0,0,0,0,1,0,0,4,0,26,17:07,1,0,14,9,60.9,0:39
5,10/12/19,5,34-080,BOS_C,,NJD,W,1,0,1,1,0,0,1,0,0,0,0,0,2,50,22,16:10,0,1,9,5,64.3,0:44
6,10/14/19,6,34-082,BOS_C,,ANA,W,0,1,1,1,2,0,0,0,0,0,1,0,1,0,24,18:08,1,0,12,9,57.1,0:45
7,10/17/19,7,34-085,BOS_C,,TBL,L-SO,1,1,2,0,2,0,1,0,0,0,1,0,3,33.3,27,21:25,1,2,14,13,51.9,0:47
8,10/19/19,8,34-087,BOS_C,@,TOR,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,6,0,26,21:38,1,0,11,11,50,0:49
9,10/22/19,9,34-090,BOS_C,,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,6,0,27,21:20,1,0,12,10,54.5,0:47
10,10/26/19,10,34-094,BOS_C,,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,5,0,23,19:41,1,1,10,9,52.6,0:51
11,10/27/19,11,34-095,BOS_C,@,NYR,W,3,0,3,3,0,3,0,0,0,0,0,0,5,60,23,18:08,1,0,13,4,76.5,0:47
12,10/29/19,12,34-097,BOS_C,,SJS,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0,17,16:43,0,0,9,8,52.9,0:59
13,11/2/19,13,34-101,BOS_C,,OTT,W,1,1,2,1,0,1,0,0,0,0,1,0,5,20,23,19:06,0,0,11,4,73.3,0:49
14,11/4/19,14,34-103,BOS_C,,PIT,W,1,0,1,3,0,1,0,0,0,0,0,0,3,33.3,23,21:47,1,0,10,13,43.5,0:56
15,11/5/19,15,34-104,BOS_C,@,MTL,L,0,1,1,-2,2,0,0,0,0,0,1,0,1,0,24,18:11,1,1,10,8,55.6,0:45
16,11/8/19,16,34-107,BOS_C,@,DET,L,1,0,1,-2,0,0,1,0,0,0,0,0,7,14.3,26,21:15,1,0,11,7,61.1,0:49
17,11/10/19,17,34-109,BOS_C,,PHI,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,2,0,23,19:25,0,1,12,10,54.5,0:50
18,11/12/19,18,34-111,BOS_C,,FLA,L-SO,0,1,1,0,2,0,0,0,0,1,0,0,3,0,28,19:45,1,0,7,12,36.8,0:42
19,11/15/19,19,34-114,BOS_C,@,TOR,W,0,1,1,-1,2,0,0,0,0,1,0,0,2,0,22,16:48,2,0,13,12,52,0:45
20,11/21/19,20,34-120,BOS_C,,BUF,W,0,1,1,1,0,0,0,0,0,0,1,0,4,0,22,18:16,3,1,11,7,61.1,0:49
21,11/23/19,21,34-122,BOS_C,,MIN,W,0,4,4,2,2,0,0,0,0,3,1,0,3,0,25,16:40,0,1,10,8,55.6,0:40
1,10/3/18,1,33-071,BOS_C,@,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,23,15:23,0,0,16,4,80,0:40
2,10/4/18,2,33-072,BOS_C,@,BUF,W,1,1,2,2,0,0,0,1,0,0,1,0,2,50,21,15:56,1,1,12,15,44.4,0:45
3,10/8/18,3,33-076,BOS_C,,OTT,W,3,1,4,3,2,2,1,0,1,1,0,0,4,75,24,16:46,0,0,14,10,58.3,0:41
4,10/11/18,4,33-079,BOS_C,,EDM,W,1,1,2,0,0,1,0,0,0,0,1,0,4,25,24,19:08,1,1,14,7,66.7,0:47
5,10/13/18,5,33-081,BOS_C,,DET,W,0,3,3,2,0,0,0,0,0,2,1,0,1,0,22,14:18,1,1,11,8,57.9,0:39
6,10/17/18,6,33-085,BOS_C,@,CGY,L,1,1,2,0,2,1,0,0,0,1,0,0,7,14.3,25,19:07,1,1,12,9,57.1,0:45
7,10/18/18,7,33-086,BOS_C,@,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,21:00,0,2,13,13,50,0:48
8,10/20/18,8,33-088,BOS_C,@,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,21:58,0,1,16,11,59.3,0:50
