Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,10/3/19,1,42-199,BOS_D,@,DAL,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0,30,19:24,0,3,0,0,
2,10/5/19,2,42-201,BOS_D,@,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,19:59,0,1,0,0,
3,10/8/19,3,42-204,BOS_D,@,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30,25:33:00,1,1,0,0,
4,10/10/19,4,42-206,BOS_D,@,COL,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50,23,20:55,2,4,0,0,
5,10/12/19,5,42-208,BOS_D,,NJD,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0,27,22:19,0,1,0,0,
6,10/14/19,6,42-210,BOS_D,,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,26:04:00,1,0,0,0,
7,10/17/19,7,42-213,BOS_D,,TBL,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,26,22:05,2,2,0,0,
8,10/19/19,8,42-215,BOS_D,@,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,22:44,0,1,0,0,
9,10/22/19,9,42-218,BOS_D,,TOR,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0,29,22:32,0,2,0,0,
10,10/26/19,10,42-222,BOS_D,,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0,25,21:25,3,2,0,0,
11,10/27/19,11,42-223,BOS_D,@,NYR,W,1,1,2,6,4,1,0,0,1,1,0,0,6,16.7,27,20:01,0,2,0,0,
12,10/29/19,12,42-225,BOS_D,,SJS,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0,22,18:02,3,0,0,0,
13,11/2/19,13,42-229,BOS_D,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,22:51,1,2,0,0,
14,11/4/19,14,42-231,BOS_D,,PIT,W,0,1,1,3,0,0,0,0,0,1,0,0,1,0,20,22:31,0,1,0,0,
15,11/5/19,15,42-232,BOS_D,@,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,17:54,0,1,0,0,
16,11/8/19,16,42-235,BOS_D,@,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,19:18,1,0,0,0,
17,11/10/19,17,42-237,BOS_D,,PHI,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,3,0,24,22:56,1,1,0,0,
18,11/12/19,18,42-239,BOS_D,,FLA,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,2,50,26,22:47,2,2,0,0,
19,11/15/19,19,42-242,BOS_D,@,TOR,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50,27,24:04:00,1,5,0,0,
20,11/16/19,20,42-243,BOS_D,,WSH,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,2,0,23,20:22,2,0,0,0,
21,11/19/19,21,42-246,BOS_D,@,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,22:29,0,2,0,0,
22,11/21/19,22,42-248,BOS_D,,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,27,25:50:00,1,1,0,0,
23,11/23/19,23,42-250,BOS_D,,MIN,W,0,1,1,1,6,0,0,0,0,1,0,0,0,,24,17:57,0,0,0,0,
24,11/26/19,24,42-253,BOS_D,@,MTL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,22,20:28,1,1,0,0,
25,11/27/19,25,42-254,BOS_D,@,OTT,W,1,0,1,2,0,1,0,0,1,0,0,0,1,100,29,23:35,0,3,0,0,
26,11/29/19,26,42-256,BOS_D,,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,23:39,3,1,0,0,
27,12/1/19,27,42-258,BOS_D,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,18:35,1,2,0,0,
1,10/3/18,1,41-199,BOS_D,@,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,27,18:36,2,2,0,0,
2,10/4/18,2,41-200,BOS_D,@,BUF,W,1,0,1,1,2,1,0,0,1,0,0,0,2,50,24,25:55:00,1,1,0,0,
3,10/8/18,3,41-204,BOS_D,,OTT,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0,21,21:56,2,2,0,0,
4,10/11/18,4,41-207,BOS_D,,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,23,23:06,1,3,0,0,
5,10/13/18,5,41-209,BOS_D,,DET,W,0,0,0,2,0,0,0,0,0,0,0,0,4,0,24,20:01,1,0,0,0,
6,10/17/18,6,41-213,BOS_D,@,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,18:23,0,1,0,0,
7,10/18/18,7,41-214,BOS_D,@,EDM,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,25,24:21:00,1,1,0,0,
8,10/20/18,8,41-216,BOS_D,@,VAN,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,28,23:13,0,2,0,0,
9,10/23/18,9,41-219,BOS_D,@,OTT,W,0,0,0,2,6,0,0,0,0,0,0,0,3,0,27,25:47:00,3,5,0,0,
10,10/25/18,10,41-221,BOS_D,,PHI,W,2,0,2,1,4,1,1,0,1,0,0,0,5,40,23,22:38,2,0,0,0,
11,10/27/18,11,41-223,BOS_D,,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,22:40,0,1,0,0,
12,10/30/18,12,41-226,BOS_D,@,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,27:52:00,0,3,0,0,
13,11/3/18,13,41-230,BOS_D,@,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,22:56,1,0,0,0,
14,11/5/18,14,41-232,BOS_D,,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,22:28,0,0,0,0,
15,11/8/18,15,41-235,BOS_D,,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,24,18:50,0,1,0,0,
16,11/10/18,16,41-237,BOS_D,,TOR,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,26,21:04,1,2,0,0,
17,11/11/18,17,41-238,BOS_D,,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0,25,21:53,1,0,0,0,
18,11/14/18,18,41-241,BOS_D,@,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:24,0,0,0,0,
19,12/27/18,19,41-284,BOS_D,,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,19:13,1,0,0,0,
20,12/29/18,20,41-286,BOS_D,@,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,19:25,2,3,0,0,
21,1/1/19,21,41-289,BOS_D,@,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,19:12,4,3,0,0,
22,1/3/19,22,41-291,BOS_D,,CGY,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0,22,19:48,1,1,0,0,
23,1/5/19,23,41-293,BOS_D,,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27,21:32,1,0,0,0,
24,1/8/19,24,41-296,BOS_D,,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0,23,22:35,2,2,0,0,
25,1/10/19,25,41-298,BOS_D,,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,21,19:49,1,3,0,0,
26,1/12/19,26,41-300,BOS_D,@,TOR,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0,26,22:23,4,3,0,0,
27,1/14/19,27,41-302,BOS_D,,MTL,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,0,,21,16:41,3,2,0,0,
28,1/16/19,28,41-304,BOS_D,@,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,22,16:18,0,0,0,0,
29,1/17/19,29,41-305,BOS_D,,STL,W,0,1,1,2,5,0,0,0,0,0,1,0,0,,22,20:13,1,3,0,0,
30,1/19/19,30,41-307,BOS_D,,NYR,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,19,18:20,1,1,0,0,
31,1/29/19,31,41-317,BOS_D,,WPG,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,27,19:57,0,6,0,0,
32,1/31/19,32,41-319,BOS_D,,PHI,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,2,0,21,22:15,0,2,0,0,
33,2/3/19,33,41-322,BOS_D,@,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,24:16:00,1,4,0,0,
34,2/5/19,34,41-324,BOS_D,,NYI,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0,28,23:52,2,2,0,0,
35,2/6/19,35,41-325,BOS_D,@,NYR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,23,18:29,1,0,0,0,
36,2/9/19,36,41-328,BOS_D,,LAK,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0,25,24:00:00,2,0,0,0,
37,2/10/19,37,41-329,BOS_D,,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,25,20:23,3,1,0,0,
38,2/12/19,38,41-331,BOS_D,,CHI,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0,24,21:04,3,1,0,0,
39,2/15/19,39,41-334,BOS_D,@,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0,26,22:29,1,1,0,0,
40,2/16/19,40,41-335,BOS_D,@,LAK,W,0,0,0,2,2,0,0,0,0,0,0,0,0,,28,21:32,0,3,0,0,
41,2/18/19,41,41-337,BOS_D,@,SJS,W,1,0,1,0,2,1,0,0,0,0,0,0,1,100,29,22:08,0,0,0,0,
42,2/20/19,42,41-339,BOS_D,@,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,32,20:08,2,2,0,0,
43,2/23/19,43,41-342,BOS_D,@,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,21:57,1,1,0,0,
44,2/26/19,44,41-345,BOS_D,,SJS,W,0,0,0,1,7,0,0,0,0,0,0,0,2,0,18,17:42,0,3,0,0,
45,2/28/19,45,41-347,BOS_D,,TBL,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0,25,21:07,1,0,0,0,
46,3/2/19,46,41-349,BOS_D,,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,22:13,0,0,0,0,
47,3/5/19,47,41-352,BOS_D,,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,22:41,2,0,0,0,
48,3/7/19,48,41-354,BOS_D,,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0,24,17:54,2,1,0,0,
49,3/9/19,49,41-356,BOS_D,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,22:17,0,2,0,0,
