Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,10/3/19,1,31-145,BOS_LW,@,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,18:58,1,1,0,0,
2,10/5/19,2,31-147,BOS_LW,@,ARI,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,23,20:00,1,1,0,0,
3,10/8/19,3,31-150,BOS_LW,@,VEG,W,2,1,3,1,2,1,1,0,0,1,0,0,3,66.7,24,17:55,0,0,1,0,100
4,10/10/19,4,31-152,BOS_LW,@,COL,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0,27,20:09,0,0,0,1,0
5,10/12/19,5,31-154,BOS_LW,,NJD,W,1,1,2,1,0,1,0,0,1,0,1,0,3,33.3,22,18:30,0,0,0,0,
6,10/14/19,6,31-156,BOS_LW,,ANA,W,0,2,2,1,0,0,0,0,0,1,1,0,0,,25,18:06,1,0,0,0,
7,10/17/19,7,31-159,BOS_LW,,TBL,L-SO,0,2,2,0,2,0,0,0,0,0,2,0,3,0,27,23:36,1,0,0,0,
8,10/19/19,8,31-161,BOS_LW,@,TOR,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,5,0,27,22:38,0,0,2,0,100
9,10/22/19,9,31-164,BOS_LW,,TOR,W,1,1,2,1,2,1,0,0,0,0,1,0,4,25,27,19:44,0,0,1,0,100
10,10/26/19,10,31-168,BOS_LW,,STL,W,0,1,1,1,0,0,0,0,0,0,1,0,2,0,23,21:30,1,0,0,0,
11,10/27/19,11,31-169,BOS_LW,@,NYR,W,2,3,5,5,4,2,0,0,0,3,0,0,5,40,24,17:05,1,0,0,0,
12,10/29/19,12,31-171,BOS_LW,,SJS,W,0,1,1,0,12,0,0,0,0,0,1,0,5,0,17,15:20,0,0,0,2,0
13,11/2/19,13,31-175,BOS_LW,,OTT,W,1,1,2,0,6,0,1,0,0,1,0,0,2,50,22,16:28,1,0,2,0,100
14,11/4/19,14,31-177,BOS_LW,,PIT,W,2,3,5,4,0,2,0,0,1,3,0,0,2,100,23,24:21:00,0,0,1,0,100
15,11/5/19,15,31-178,BOS_LW,@,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25,18:52,2,0,2,1,66.7
16,11/8/19,16,31-181,BOS_LW,@,DET,L,0,0,0,-2,7,0,0,0,0,0,0,0,0,,26,20:23,0,0,0,5,0
17,11/10/19,17,31-183,BOS_LW,,PHI,L-SO,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,23,21:15,0,0,0,1,0
18,11/12/19,18,31-185,BOS_LW,,FLA,L-SO,0,1,1,0,4,0,0,0,0,0,1,0,3,0,26,19:42,2,0,0,0,
19,11/15/19,19,31-188,BOS_LW,@,TOR,W,2,0,2,1,0,2,0,0,1,0,0,0,7,28.6,22,18:18,0,0,0,1,0
20,11/16/19,20,31-189,BOS_LW,,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,24:52:00,0,0,0,2,0
21,11/19/19,21,31-192,BOS_LW,@,NJD,W,0,3,3,3,0,0,0,0,0,2,1,0,0,,22,16:52,0,0,1,1,50
22,11/21/19,22,31-194,BOS_LW,,BUF,W,2,0,2,1,0,1,1,0,0,0,0,0,2,100,22,19:20,2,0,0,2,0
23,11/23/19,23,31-196,BOS_LW,,MIN,W,1,1,2,2,4,1,0,0,0,1,0,0,2,50,28,19:06,1,0,1,0,100
24,11/26/19,24,31-199,BOS_LW,@,MTL,W,1,2,3,2,0,1,0,0,0,1,1,0,4,25,20,15:36,0,1,0,1,0
25,11/27/19,25,31-200,BOS_LW,@,OTT,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50,21,19:37,0,1,0,0,
26,11/29/19,26,31-202,BOS_LW,,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,19:43,0,0,0,0,
27,12/1/19,27,31-204,BOS_LW,,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,20:43,0,1,0,1,0
1,10/3/18,1,30-145,BOS_LW,@,WSH,L,0,0,0,-2,19,0,0,0,0,0,0,0,1,0,20,14:56,1,0,0,0,
2,10/4/18,2,30-146,BOS_LW,@,BUF,W,0,4,4,3,0,0,0,0,0,2,1,1,0,,22,17:10,0,0,0,1,0
3,10/8/18,3,30-150,BOS_LW,,OTT,W,0,3,3,3,0,0,0,0,0,2,1,0,2,0,25,18:47,0,0,0,3,0
4,10/11/18,4,30-153,BOS_LW,,EDM,W,1,0,1,0,0,0,1,0,1,0,0,0,3,33.3,24,20:19,0,0,1,1,50
5,10/13/18,5,30-155,BOS_LW,,DET,W,0,2,2,2,2,0,0,0,0,1,1,0,0,,22,15:27,0,0,0,1,0
6,10/17/18,6,30-159,BOS_LW,@,CGY,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100,24,20:32,0,0,0,0,
7,10/18/18,7,30-160,BOS_LW,@,EDM,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,4,0,24,21:33,2,0,1,1,50
8,10/20/18,8,30-162,BOS_LW,@,VAN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,26,23:52,0,0,0,0,
9,10/23/18,9,30-165,BOS_LW,@,OTT,W,0,1,1,1,7,0,0,0,0,1,0,0,2,0,23,15:06,2,0,0,1,0
10,10/25/18,10,30-167,BOS_LW,,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,24:10:00,0,0,1,2,33.3
11,10/27/18,11,30-169,BOS_LW,,MTL,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0,27,21:00,0,0,2,1,66.7
12,10/30/18,12,30-172,BOS_LW,@,CAR,W,2,0,2,1,2,1,1,0,1,0,0,0,5,40,26,20:27,1,1,1,1,50
13,11/3/18,13,30-176,BOS_LW,@,NSH,L,0,0,0,0,14,0,0,0,0,0,0,0,4,0,21,18:21,0,2,0,1,0
14,11/5/18,14,30-178,BOS_LW,,DAL,W,1,0,1,-1,0,0,1,0,1,0,0,0,5,20,25,22:06,0,0,1,2,33.3
15,11/8/18,15,30-181,BOS_LW,,VAN,L,0,1,1,-2,2,0,0,0,0,0,1,0,1,0,24,22:14,1,1,2,2,50
16,11/10/18,16,30-183,BOS_LW,,TOR,W,0,2,2,2,0,0,0,0,0,0,2,0,1,0,23,18:38,0,0,2,3,40
17,11/11/18,17,30-184,BOS_LW,,VEG,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,23,19:44,1,0,1,0,100
18,11/14/18,18,30-187,BOS_LW,@,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,23,18:53,0,0,0,0,
19,11/16/18,19,30-189,BOS_LW,@,DAL,L-OT,0,0,0,-1,18,0,0,0,0,0,0,0,1,0,19,15:05,0,2,2,1,66.7
20,11/17/18,20,30-190,BOS_LW,@,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,4,0,23,21:37,0,0,1,1,50
21,11/21/18,21,30-194,BOS_LW,@,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,16:15,0,0,1,1,50
22,11/23/18,22,30-196,BOS_LW,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,7,0,27,20:20,1,2,2,3,40
23,11/24/18,23,30-197,BOS_LW,@,MTL,W,0,0,0,-1,4,0,0,0,0,0,0,0,4,0,21,19:57,0,0,0,1,0
24,11/26/18,24,30-199,BOS_LW,@,TOR,L,0,2,2,0,0,0,0,0,0,1,1,0,3,0,21,20:41,1,0,2,0,100
25,11/29/18,25,30-202,BOS_LW,,NYI,W,1,0,1,0,0,0,1,0,0,0,0,0,4,25,23,21:39,1,0,1,3,25
26,12/1/18,26,30-204,BOS_LW,,DET,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0,25,22:14,4,0,1,1,50
27,12/4/18,27,30-207,BOS_LW,@,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,16:52,1,0,0,1,0
28,12/6/18,28,30-209,BOS_LW,@,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0,23,20:59,1,0,1,1,50
29,12/8/18,29,30-211,BOS_LW,,TOR,W,0,3,3,2,0,0,0,0,0,2,1,0,1,0,26,20:16,2,1,1,1,50
30,12/9/18,30,30-212,BOS_LW,@,OTT,W,1,1,2,1,2,0,1,0,0,1,0,0,9,11.1,23,23:39,2,0,0,2,0
31,12/11/18,31,30-214,BOS_LW,,ARI,W,2,1,3,3,0,2,0,0,1,1,0,0,4,50,27,23:15,1,0,4,1,80
32,12/14/18,32,30-217,BOS_LW,@,PIT,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0,22,21:50,1,0,0,1,0
33,12/16/18,33,30-219,BOS_LW,,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,22,22:13,0,0,0,0,
34,12/17/18,34,30-220,BOS_LW,@,MTL,W,1,0,1,1,2,0,1,0,0,0,0,0,2,50,23,18:44,0,0,0,0,
35,12/20/18,35,30-223,BOS_LW,,ANA,W,0,2,2,0,2,0,0,0,0,1,1,0,5,0,23,18:42,0,0,0,0,
36,12/22/18,36,30-225,BOS_LW,,NSH,W,1,2,3,2,0,0,1,0,1,2,0,0,6,16.7,24,18:50,0,1,0,1,0
37,12/23/18,37,30-226,BOS_LW,@,CAR,L,0,2,2,0,0,0,0,0,0,1,1,0,2,0,26,22:30,1,0,0,0,
38,12/27/18,38,30-230,BOS_LW,,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23,20:20,0,0,2,1,66.7
39,1/1/19,39,30-235,BOS_LW,@,CHI,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20,27,19:13,2,0,2,3,40
40,1/3/19,40,30-237,BOS_LW,,CGY,W,2,0,2,0,2,2,0,0,0,0,0,0,4,50,24,18:27,1,1,0,0,
41,1/5/19,41,30-239,BOS_LW,,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,19:58,3,0,1,0,100
42,1/8/19,42,30-242,BOS_LW,,MIN,W,1,2,3,1,0,1,0,0,0,0,2,0,1,100,18,12:47,0,0,0,0,
43,1/10/19,43,30-244,BOS_LW,,WSH,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,22,23:01,0,0,1,0,100
44,1/12/19,44,30-246,BOS_LW,@,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,6,0,25,19:37,0,0,0,2,0
45,1/14/19,45,30-248,BOS_LW,,MTL,L-OT,1,1,2,-2,0,1,0,0,0,0,1,0,6,16.7,23,18:26,2,0,1,4,20
46,1/16/19,46,30-250,BOS_LW,@,PHI,L,0,2,2,1,0,0,0,0,0,1,1,0,0,,23,21:00,1,0,1,1,50
47,1/17/19,47,30-251,BOS_LW,,STL,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50,22,21:08,2,0,0,0,
48,1/19/19,48,30-253,BOS_LW,,NYR,L,1,0,1,-1,0,1,0,0,0,0,0,0,4,25,22,19:29,0,0,0,0,
49,1/29/19,49,30-263,BOS_LW,,WPG,L-SO,0,3,3,0,0,0,0,0,0,2,1,0,0,,27,20:25,0,0,0,0,
50,1/31/19,50,30-265,BOS_LW,,PHI,L-OT,0,1,1,1,2,0,0,0,0,0,1,0,0,,25,19:45,0,1,0,0,
51,2/3/19,51,30-268,BOS_LW,@,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,7,0,21,20:04,0,0,1,0,100
52,2/5/19,52,30-270,BOS_LW,,NYI,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0,21,17:49,0,1,0,0,
53,2/6/19,53,30-271,BOS_LW,@,NYR,L-SO,0,2,2,0,0,0,0,0,0,1,1,0,1,0,25,19:29,0,0,1,1,50
54,2/9/19,54,30-274,BOS_LW,,LAK,W,1,1,2,3,0,0,0,1,0,1,0,0,3,33.3,25,22:30,0,0,1,0,100
55,2/10/19,55,30-275,BOS_LW,,COL,W,1,1,2,1,0,1,0,0,1,1,0,0,2,50,24,18:52,1,0,0,1,0
