Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,10/3/19,1,23-131,BOS_RW,@,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,16:47,0,1,0,0,
2,10/5/19,2,23-133,BOS_RW,@,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0,19,16:10,0,1,0,0,
3,10/8/19,3,23-136,BOS_RW,@,VEG,W,1,2,3,1,0,1,0,0,0,1,1,0,6,16.7,23,19:26,0,0,1,0,100
4,10/10/19,4,23-138,BOS_RW,@,COL,L,1,1,2,0,0,1,0,0,0,1,0,0,5,20,27,21:59,0,0,0,0,
5,10/12/19,5,23-140,BOS_RW,,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,18,16:07,0,0,0,1,0
6,10/14/19,6,23-142,BOS_RW,,ANA,W,4,0,4,1,2,2,2,0,1,0,0,0,5,80,22,16:13,0,0,0,0,
7,10/17/19,7,23-145,BOS_RW,,TBL,L-SO,2,1,3,0,0,0,2,0,0,0,1,0,4,50,24,21:34,0,0,0,1,0
8,10/19/19,8,23-147,BOS_RW,@,TOR,L-OT,1,1,2,0,0,1,0,0,0,0,1,0,2,50,27,24:10:00,2,1,0,0,
9,10/22/19,9,23-150,BOS_RW,,TOR,W,1,1,2,1,0,0,1,0,0,1,0,0,5,20,25,18:10,1,0,0,1,0
10,10/26/19,10,23-154,BOS_RW,,STL,W,1,0,1,0,0,0,1,0,1,0,0,0,3,33.3,19,17:33,1,0,0,0,
11,10/27/19,11,23-155,BOS_RW,@,NYR,W,0,5,5,4,2,0,0,0,0,5,0,0,2,0,20,16:02,1,1,0,1,0
12,10/29/19,12,23-157,BOS_RW,,SJS,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,16,14:58,0,0,0,0,
13,11/2/19,13,23-161,BOS_RW,,OTT,W,1,2,3,0,0,0,1,0,0,1,1,0,3,33.3,20,16:56,0,0,0,0,
14,11/4/19,14,23-163,BOS_RW,,PIT,W,1,1,2,1,0,1,0,0,0,1,0,0,5,20,22,20:34,1,1,0,0,
15,11/5/19,15,23-164,BOS_RW,@,MTL,L,1,0,1,-2,2,0,1,0,0,0,0,0,4,25,25,21:22,3,1,0,0,
16,11/8/19,16,23-167,BOS_RW,@,DET,L,0,0,0,-2,4,0,0,0,0,0,0,0,5,0,27,23:38,1,0,0,0,
17,11/10/19,17,23-169,BOS_RW,,PHI,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,4,0,23,21:58,0,0,0,0,
18,11/12/19,18,23-171,BOS_RW,,FLA,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,8,12.5,23,21:55,0,0,0,0,
19,11/15/19,19,23-174,BOS_RW,@,TOR,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0,21,17:41,1,0,0,0,
20,11/16/19,20,23-175,BOS_RW,,WSH,L-SO,1,0,1,0,2,1,0,0,0,0,0,0,5,20,23,22:58,1,0,0,0,
21,11/19/19,21,23-178,BOS_RW,@,NJD,W,2,0,2,1,0,1,1,0,1,0,0,0,6,33.3,18,16:45,0,1,0,0,
22,11/21/19,22,23-180,BOS_RW,,BUF,W,1,1,2,1,0,0,1,0,1,1,0,0,7,14.3,20,20:02,1,0,0,0,
23,11/23/19,23,23-182,BOS_RW,,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0,23,17:46,0,0,0,0,
24,11/26/19,24,23-185,BOS_RW,@,MTL,W,3,0,3,1,0,2,1,0,1,0,0,0,4,75,18,16:00,0,0,0,1,0
25,11/27/19,25,23-186,BOS_RW,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,19:41,1,0,0,0,
26,11/29/19,26,23-188,BOS_RW,,NYR,W,1,1,2,2,0,1,0,0,0,1,0,0,5,20,21,21:42,2,0,0,1,0
27,12/1/19,27,23-190,BOS_RW,,MTL,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,20,20:37,1,0,0,0,
1,10/3/18,1,22-131,BOS_RW,@,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,19,15:26,0,0,0,0,
2,10/4/18,2,22-132,BOS_RW,@,BUF,W,1,0,1,2,0,1,0,0,0,0,0,0,6,16.7,19,16:03,2,0,0,0,
3,10/8/18,3,22-136,BOS_RW,,OTT,W,2,2,4,4,0,2,0,0,0,1,1,0,6,33.3,22,16:24,0,0,0,1,0
4,10/11/18,4,22-139,BOS_RW,,EDM,W,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,19,17:49,1,0,0,0,
5,10/13/18,5,22-141,BOS_RW,,DET,W,3,0,3,3,0,2,1,0,0,0,0,0,4,75,20,13:34,0,0,0,0,
6,10/17/18,6,22-145,BOS_RW,@,CGY,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0,22,19:55,0,0,0,0,
7,10/18/18,7,22-146,BOS_RW,@,EDM,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,24,21:03,1,0,0,0,
8,10/20/18,8,22-148,BOS_RW,@,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,24:07:00,0,0,0,0,
9,10/23/18,9,22-151,BOS_RW,@,OTT,W,2,2,4,2,0,2,0,0,0,0,2,0,5,40,19,14:34,0,0,0,0,
10,10/25/18,10,22-153,BOS_RW,,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0,22,19:59,0,0,0,0,
11,10/27/18,11,22-155,BOS_RW,,MTL,L,0,0,0,-2,2,0,0,0,0,0,0,0,6,0,24,23:13,2,1,0,0,
12,10/30/18,12,22-158,BOS_RW,@,CAR,W,1,0,1,0,0,0,1,0,0,0,0,0,9,11.1,23,22:08,0,0,0,0,
13,11/3/18,13,22-162,BOS_RW,@,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,20:43,0,1,0,0,
14,11/5/18,14,22-164,BOS_RW,,DAL,W,1,0,1,-1,0,0,1,0,0,0,0,0,1,100,24,21:09,0,0,0,0,
15,11/8/18,15,22-167,BOS_RW,,VAN,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,21,22:16,2,0,0,0,
16,11/10/18,16,22-169,BOS_RW,,TOR,W,3,1,4,2,0,1,2,0,1,1,0,0,7,42.9,21,17:38,0,1,0,0,
