Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,10/2/19,1,29-012,TOR_C,,OTT,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0,24,18:13,0,0,10,9,52.6
2,10/4/19,2,29-014,TOR_C,@,CBJ,W,0,2,2,1,0,0,0,0,0,1,1,0,2,0,25,17:43,0,0,9,7,56.3
3,10/5/19,3,29-015,TOR_C,,MTL,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,28,20:12,1,0,12,11,52.2
4,10/7/19,4,29-017,TOR_C,,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,20:29,1,0,7,12,36.8
5,10/10/19,5,29-020,TOR_C,,TBL,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,20,16:59,0,0,6,4,60
6,10/12/19,6,29-022,TOR_C,@,DET,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,21,17:04,1,0,7,4,63.6
7,10/15/19,7,29-025,TOR_C,,MIN,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100,20,16:20,0,0,11,3,78.6
8,10/16/19,8,29-026,TOR_C,@,WSH,L,1,0,1,-1,0,1,0,0,0,0,0,0,4,25,19,18:22,0,0,3,9,25
9,11/5/19,9,29-046,TOR_C,,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,18:00,0,2,5,4,55.6
10,11/7/19,10,29-048,TOR_C,,VEG,W,1,1,2,1,0,1,0,0,1,0,1,0,4,25,16,16:47,0,1,7,8,46.7
11,11/9/19,11,29-050,TOR_C,,PHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,19:49,1,0,10,5,66.7
12,11/10/19,12,29-051,TOR_C,@,CHI,L,1,1,2,-2,0,0,1,0,0,0,1,0,3,33.3,22,20:42,0,0,12,8,60
13,11/13/19,13,29-054,TOR_C,@,NYI,L,1,1,2,1,0,1,0,0,0,1,0,0,2,50,20,17:44,0,0,5,10,33.3
