Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,10/2/19,1,25-207,TOR_D,,OTT,W,0,1,1,0,0,0,0,0,0,1,0,0,5,0,27,25:37:00,0,1,0,0,
2,10/4/19,2,25-209,TOR_D,@,CBJ,W,0,3,3,1,2,0,0,0,0,1,2,0,2,0,33,23:12,2,1,0,0,
3,10/5/19,3,25-210,TOR_D,,MTL,L-SO,0,1,1,-1,0,0,0,0,0,1,0,0,0,,31,25:43:00,0,2,0,0,
4,10/7/19,4,25-212,TOR_D,,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,25:05:00,0,0,0,0,
5,10/10/19,5,25-215,TOR_D,,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,27,22:57,0,0,0,0,
6,10/12/19,6,25-217,TOR_D,@,DET,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0,28,24:53:00,1,2,0,0,
7,10/15/19,7,25-220,TOR_D,,MIN,W,0,4,4,2,2,0,0,0,0,2,2,0,6,0,29,21:44,0,0,0,0,
8,10/16/19,8,25-221,TOR_D,@,WSH,L,0,0,0,-1,4,0,0,0,0,0,0,0,2,0,33,27:44:00,1,0,0,0,
9,10/19/19,9,25-224,TOR_D,,BOS,W,2,0,2,1,0,2,0,0,1,0,0,0,5,40,30,25:59:00,0,2,0,0,
10,10/21/19,10,25-226,TOR_D,,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,27:06:00,2,2,0,0,
11,10/22/19,11,25-227,TOR_D,@,BOS,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0,31,25:13:00,0,0,0,0,
12,10/25/19,12,25-230,TOR_D,,SJS,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100,29,26:02:00,0,4,0,0,
13,10/26/19,13,25-231,TOR_D,@,MTL,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,27,20:48,0,1,0,0,
14,10/29/19,14,25-234,TOR_D,,WSH,L-OT,0,1,1,0,2,0,0,0,0,1,0,0,1,0,33,33:16:00,0,1,0,0,
15,11/2/19,15,25-238,TOR_D,@,PHI,W,0,1,1,0,2,0,0,0,0,1,0,0,2,0,33,30:05:00,0,0,0,1,0
16,11/5/19,16,25-241,TOR_D,,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0,25,24:41:00,1,2,0,0,
17,11/7/19,17,25-243,TOR_D,,VEG,W,0,1,1,0,0,0,0,0,0,0,1,0,5,0,28,24:02:00,1,2,0,0,
18,11/9/19,18,25-245,TOR_D,,PHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,25:48:00,2,0,0,0,
19,11/10/19,19,25-246,TOR_D,@,CHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,6,0,32,25:42:00,0,0,0,0,
20,11/13/19,20,25-249,TOR_D,@,NYI,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0,25,24:41:00,1,1,0,0,
21,11/15/19,21,25-251,TOR_D,,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,25,24:49:00,1,1,0,0,
22,11/16/19,22,25-252,TOR_D,@,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,19:56,1,0,0,0,
23,11/19/19,23,25-255,TOR_D,@,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,29,24:13:00,0,1,0,0,
24,11/21/19,24,25-257,TOR_D,@,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0,26,21:35,2,2,0,0,
25,11/23/19,25,25-259,TOR_D,@,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,30,23:25,0,1,0,0,
26,11/27/19,26,25-263,TOR_D,@,DET,W,0,2,2,2,0,0,0,0,0,2,0,0,6,0,23,20:16,0,0,0,0,
27,11/29/19,27,25-265,TOR_D,@,BUF,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,27,27:39:00,0,0,0,0,
28,11/30/19,28,25-266,TOR_D,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,28,23:42,1,0,0,0,
1,10/3/18,1,24-208,TOR_D,,MTL,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0,27,20:06,0,1,0,0,
2,10/6/18,2,24-211,TOR_D,,OTT,L,1,1,2,0,0,1,0,0,0,0,1,0,5,20,27,22:54,1,2,0,0,
3,10/7/18,3,24-212,TOR_D,@,CHI,W,1,2,3,3,0,1,0,0,1,1,1,0,5,20,28,20:13,2,3,0,0,
4,10/9/18,4,24-214,TOR_D,@,DAL,W,0,4,4,0,0,0,0,0,0,2,2,0,3,0,31,20:33,1,1,0,0,
5,10/11/18,5,24-216,TOR_D,@,DET,W,1,1,2,1,0,1,0,0,0,0,1,0,5,20,25,22:05,0,1,0,0,
6,10/13/18,6,24-218,TOR_D,@,WSH,W,0,1,1,2,0,0,0,0,0,1,0,0,4,0,25,21:44,1,1,0,0,
7,10/15/18,7,24-220,TOR_D,,LAK,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,24,19:15,2,6,0,0,
8,10/18/18,8,24-223,TOR_D,,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,29,21:45,3,1,0,0,
9,10/20/18,9,24-225,TOR_D,,STL,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100,30,24:37:00,1,2,0,0,
10,10/24/18,10,24-229,TOR_D,@,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0,29,23:07,0,2,0,0,
11,10/27/18,11,24-232,TOR_D,,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,5,0,29,25:00:00,0,1,0,0,
12,10/29/18,12,24-234,TOR_D,,CGY,L,0,1,1,-2,0,0,0,0,0,0,1,0,3,0,33,26:40:00,0,0,0,0,
13,11/1/18,13,24-237,TOR_D,,DAL,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0,28,23:04,0,0,0,0,
14,11/3/18,14,24-239,TOR_D,@,PIT,W,2,0,2,2,0,1,1,0,0,0,0,0,3,66.7,30,23:09,0,1,0,0,
15,11/6/18,15,24-242,TOR_D,,VEG,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0,28,23:24,1,6,0,0,
16,11/9/18,16,24-245,TOR_D,,NJD,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50,26,21:49,0,2,0,0,
17,11/10/18,17,24-246,TOR_D,@,BOS,L,0,1,1,-2,0,0,0,0,0,1,0,0,4,0,30,21:56,0,2,0,0,
18,11/13/18,18,24-249,TOR_D,@,LAK,W,1,1,2,1,2,1,0,0,0,0,1,0,3,33.3,27,19:09,1,1,0,0,
19,11/15/18,19,24-251,TOR_D,@,SJS,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0,30,21:10,0,1,0,0,
20,11/16/18,20,24-252,TOR_D,@,ANA,W,1,0,1,0,0,1,0,0,1,0,0,0,4,25,30,23:16,1,1,0,0,
21,11/19/18,21,24-255,TOR_D,,CBJ,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0,30,20:07,0,0,0,0,
22,11/21/18,22,24-257,TOR_D,@,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,29,22:08,1,1,0,0,
23,11/23/18,23,24-259,TOR_D,@,CBJ,L,0,0,0,-4,0,0,0,0,0,0,0,0,1,0,28,22:32,1,3,0,0,
24,11/24/18,24,24-260,TOR_D,,PHI,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0,28,18:42,0,2,0,0,
25,11/26/18,25,24-262,TOR_D,,BOS,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0,25,23:05,0,3,0,0,
26,11/28/18,26,24-264,TOR_D,,SJS,W,0,1,1,1,0,0,0,0,0,0,1,0,3,0,28,21:37,2,2,0,0,
27,12/1/18,27,24-267,TOR_D,@,MIN,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0,32,23:58,1,2,0,0,
28,12/4/18,28,24-270,TOR_D,@,BUF,W,0,1,1,3,0,0,0,0,0,1,0,0,2,0,32,25:50:00,2,1,0,0,
29,12/6/18,29,24-272,TOR_D,,DET,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,1,0,31,23:42,1,0,0,0,
30,12/8/18,30,24-274,TOR_D,@,BOS,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0,29,21:36,1,0,0,0,
31,12/11/18,31,24-277,TOR_D,@,CAR,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,30,23:00,0,3,0,0,
32,12/13/18,32,24-279,TOR_D,@,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,22:21,1,1,0,0,
33,12/15/18,33,24-281,TOR_D,@,FLA,L-OT,0,2,2,1,0,0,0,0,0,2,0,0,4,0,32,27:04:00,0,0,0,0,
34,12/18/18,34,24-284,TOR_D,@,NJD,W,1,0,1,3,0,1,0,0,0,0,0,0,2,50,24,21:40,0,0,0,0,
35,12/20/18,35,24-286,TOR_D,,FLA,W,0,4,4,2,0,0,0,0,0,2,2,0,2,0,27,19:27,0,0,0,0,
36,12/22/18,36,24-288,TOR_D,,NYR,W,1,1,2,1,0,1,0,0,0,1,0,0,4,25,26,22:40,2,3,0,0,
37,12/23/18,37,24-289,TOR_D,,DET,W,1,1,2,4,0,1,0,0,0,1,0,0,1,100,33,26:46:00,1,1,0,0,
38,12/28/18,38,24-294,TOR_D,@,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,21:19,1,0,0,0,
39,12/29/18,39,24-295,TOR_D,,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,25,21:03,1,0,0,0,
40,1/3/19,40,24-300,TOR_D,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,29,25:36:00,0,0,0,0,
41,1/5/19,41,24-302,TOR_D,,VAN,W,0,1,1,3,0,0,0,0,0,1,0,0,6,0,28,20:53,1,0,0,0,
42,1/7/19,42,24-304,TOR_D,,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,30,22:48,1,2,0,0,
43,1/10/19,43,24-307,TOR_D,@,NJD,W,0,1,1,0,0,0,0,0,0,1,0,0,5,0,39,24:13:00,4,1,0,0,
44,1/12/19,44,24-309,TOR_D,,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,20:58,0,0,0,0,
45,1/14/19,45,24-311,TOR_D,,COL,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0,28,22:32,0,0,0,0,
46,1/17/19,46,24-314,TOR_D,@,TBL,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0,32,22:21,0,1,0,1,0
47,1/18/19,47,24-315,TOR_D,@,FLA,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0,30,24:59:00,2,1,0,0,
48,1/20/19,48,24-317,TOR_D,,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,29,27:17:00,0,1,0,0,
49,1/23/19,49,24-320,TOR_D,,WSH,W,0,2,2,0,0,0,0,0,0,1,1,0,2,0,31,26:40:00,0,0,0,0,
50,2/1/19,50,24-329,TOR_D,@,DET,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,3,0,29,28:16:00,0,0,0,0,
51,2/2/19,51,24-330,TOR_D,,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0,29,21:58,0,0,0,0,
52,2/4/19,52,24-332,TOR_D,,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,19:04,0,2,0,0,
53,2/6/19,53,24-334,TOR_D,,OTT,W,1,0,1,0,0,1,0,0,1,0,0,0,2,50,28,23:03,1,2,0,0,
54,2/9/19,54,24-337,TOR_D,@,MTL,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0,32,24:51:00,0,2,0,0,
55,2/10/19,55,24-338,TOR_D,@,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,6,0,26,24:01:00,0,1,0,0,
56,2/12/19,56,24-340,TOR_D,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,22:37,1,1,0,0,
57,2/14/19,57,24-342,TOR_D,@,VEG,W,1,1,2,1,0,1,0,0,1,0,1,0,4,25,27,20:10,0,0,0,0,
58,2/16/19,58,24-344,TOR_D,@,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,27,22:54,1,4,0,0,
59,2/19/19,59,24-347,TOR_D,@,STL,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,34,22:01,0,2,0,0,
60,2/21/19,60,24-349,TOR_D,,WSH,L,0,1,1,1,2,0,0,0,0,1,0,0,2,0,26,25:11:00,1,1,0,0,
61,2/23/19,61,24-351,TOR_D,,MTL,W,0,2,2,3,0,0,0,0,0,1,1,0,4,0,31,24:45:00,2,1,0,0,
62,2/25/19,62,24-353,TOR_D,,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,29,23:00,0,2,0,0,
63,2/27/19,63,24-355,TOR_D,,EDM,W,0,0,0,2,2,0,0,0,0,0,0,0,4,0,28,21:04,4,1,0,0,
64,2/28/19,64,24-356,TOR_D,@,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,24,23:22,3,3,0,0,
65,3/2/19,65,24-358,TOR_D,,BUF,W,1,0,1,0,0,1,0,0,0,0,0,0,4,25,26,24:32:00,0,1,0,0,
66,3/4/19,66,24-360,TOR_D,@,CGY,W,0,1,1,3,0,0,0,0,0,1,0,0,1,0,27,22:28,2,5,0,0,
67,3/6/19,67,24-362,TOR_D,@,VAN,L-OT,1,0,1,0,2,1,0,0,0,0,0,0,2,50,32,24:11:00,2,3,0,0,
68,3/9/19,68,25-000,TOR_D,@,EDM,W,1,0,1,0,2,0,1,0,0,0,0,0,6,16.7,34,22:04,0,0,0,0,
