Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,10/2/19,1,24-315,TOR_LW,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,17:22,1,1,0,0,
2,10/4/19,2,24-317,TOR_LW,@,CBJ,W,0,0,0,1,6,0,0,0,0,0,0,0,1,0,25,13:21,1,1,0,0,
3,10/5/19,3,24-318,TOR_LW,,MTL,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22,16:29,1,2,0,0,
4,10/7/19,4,24-320,TOR_LW,,STL,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0,21,18:33,1,0,0,0,
5,10/10/19,5,24-323,TOR_LW,,TBL,L,1,0,1,0,0,0,1,0,0,0,0,0,1,100,23,17:27,0,0,0,0,
6,10/12/19,6,24-325,TOR_LW,@,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,6,0,23,17:30,0,0,0,0,
7,10/15/19,7,24-328,TOR_LW,,MIN,W,1,1,2,0,0,0,1,0,1,0,1,0,3,33.3,20,16:50,0,0,0,0,
8,10/16/19,8,24-329,TOR_LW,@,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,18:44,1,1,0,0,
9,10/19/19,9,24-332,TOR_LW,,BOS,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,14,10:36,0,1,0,1,0
10,10/21/19,10,24-334,TOR_LW,,CBJ,L-OT,0,2,2,0,2,0,0,0,0,2,0,0,2,0,23,16:13,1,0,0,0,
11,10/22/19,11,24-335,TOR_LW,@,BOS,L,0,0,0,-1,4,0,0,0,0,0,0,0,0,,31,17:57,0,0,0,0,
12,10/25/19,12,24-338,TOR_LW,,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,20,17:51,0,0,0,0,
13,10/26/19,13,24-339,TOR_LW,@,MTL,L,1,0,1,1,0,1,0,0,0,0,0,0,5,20,24,16:14,1,0,0,0,
14,10/29/19,14,24-342,TOR_LW,,WSH,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,25,19:36,0,0,0,0,
15,11/2/19,15,24-346,TOR_LW,@,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25,18:56,2,0,0,0,
16,11/5/19,16,24-349,TOR_LW,,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,22,17:01,2,0,0,0,
17,11/7/19,17,24-351,TOR_LW,,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,20,19:44,2,1,0,0,
18,11/9/19,18,24-353,TOR_LW,,PHI,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27,18:33,0,0,0,0,
19,11/10/19,19,24-354,TOR_LW,@,CHI,L,1,0,1,1,0,0,1,0,0,0,0,0,4,25,26,19:29,0,0,0,0,
20,11/13/19,20,24-357,TOR_LW,@,NYI,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0,22,18:15,1,1,0,0,
21,11/15/19,21,24-359,TOR_LW,,BOS,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0,28,20:42,2,0,0,0,
22,11/16/19,22,24-360,TOR_LW,@,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,23,15:22,1,0,0,0,
23,11/19/19,23,24-363,TOR_LW,@,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,18:04,1,0,0,0,
24,11/21/19,24,25-000,TOR_LW,@,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,15:49,1,0,0,0,
25,11/23/19,25,25-002,TOR_LW,@,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23,16:12,2,1,0,0,
26,11/27/19,26,25-006,TOR_LW,@,DET,W,1,2,3,2,0,0,1,0,0,2,0,0,5,20,23,14:31,0,0,0,0,
27,11/29/19,27,25-008,TOR_LW,@,BUF,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,25,18:49,1,0,0,0,
28,11/30/19,28,25-009,TOR_LW,,BUF,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0,22,17:37,3,0,0,0,
1,10/3/18,1,23-316,TOR_LW,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:26,0,0,1,0,100
2,10/6/18,2,23-319,TOR_LW,,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,15,9:24,1,0,0,0,
