Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,10/2/19,1,22-150,TOR_RW,,OTT,W,0,1,1,-1,0,0,0,0,0,0,1,0,3,0,27,19:33,0,0,0,0,
2,10/4/19,2,22-152,TOR_RW,@,CBJ,W,2,1,3,1,0,1,1,0,0,0,1,0,4,50,28,19:33,0,2,0,1,0
3,10/5/19,3,22-153,TOR_RW,,MTL,L-SO,0,1,1,-1,0,0,0,0,0,1,0,0,5,0,30,22:10,0,0,0,0,
4,10/7/19,4,22-155,TOR_RW,,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,27,23:09,1,0,0,0,
5,10/10/19,5,22-158,TOR_RW,,TBL,L,0,1,1,-1,0,0,0,0,0,0,1,0,1,0,23,20:47,1,0,0,1,0
6,10/12/19,6,22-160,TOR_RW,@,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,21,16:25,0,1,0,1,0
7,10/15/19,7,22-163,TOR_RW,,MIN,W,1,2,3,2,0,0,1,0,0,1,1,0,3,33.3,24,17:18,1,0,0,0,
8,10/16/19,8,22-164,TOR_RW,@,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,25,19:00,0,1,0,0,
9,10/19/19,9,22-167,TOR_RW,,BOS,W,0,2,2,1,0,0,0,0,0,2,0,0,3,0,31,21:08,2,0,0,0,
10,10/21/19,10,22-169,TOR_RW,,CBJ,L-OT,0,1,1,-1,2,0,0,0,0,0,0,1,2,0,28,18:15,0,0,0,0,
11,10/22/19,11,22-170,TOR_RW,@,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,33,21:26,1,0,0,0,
12,10/25/19,12,22-173,TOR_RW,,SJS,W,0,2,2,3,0,0,0,0,0,2,0,0,2,0,21,19:32,0,1,0,0,
13,10/26/19,13,22-174,TOR_RW,@,MTL,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0,24,16:23,1,0,1,0,100
14,10/29/19,14,22-177,TOR_RW,,WSH,L-OT,0,1,1,-1,2,0,0,0,0,0,1,0,3,0,30,25:35:00,0,1,2,2,50
15,11/2/19,15,22-181,TOR_RW,@,PHI,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25,29,21:47,1,0,0,2,0
16,11/5/19,16,22-184,TOR_RW,,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,20:07,0,1,0,3,0
17,11/7/19,17,22-186,TOR_RW,,VEG,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,25,24:09:00,0,1,1,1,50
18,11/9/19,18,22-188,TOR_RW,,PHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,7:36,0,1,0,1,0
1,10/3/18,1,21-151,TOR_RW,,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,18:35,1,0,0,0,
2,10/6/18,2,21-154,TOR_RW,,OTT,L,1,1,2,1,0,0,1,0,0,1,0,0,6,16.7,24,19:06,2,0,0,0,
3,10/7/18,3,21-155,TOR_RW,@,CHI,W,0,2,2,1,0,0,0,0,0,1,1,0,3,0,24,19:32,0,1,0,0,
4,10/9/18,4,21-157,TOR_RW,@,DAL,W,1,3,4,0,0,1,0,0,0,1,2,0,4,25,24,18:49,0,1,0,0,
5,10/11/18,5,21-159,TOR_RW,@,DET,W,1,1,2,1,0,1,0,0,0,1,0,0,4,25,23,18:36,1,0,0,0,
6,10/13/18,6,21-161,TOR_RW,@,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:54,0,0,0,0,
7,10/15/18,7,21-163,TOR_RW,,LAK,W,1,0,1,1,4,1,0,0,0,0,0,0,2,50,22,17:22,0,2,0,0,
8,10/18/18,8,21-166,TOR_RW,,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,24,20:02,0,2,0,0,
9,10/20/18,9,21-168,TOR_RW,,STL,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0,26,19:55,0,1,0,1,0
10,10/24/18,10,21-172,TOR_RW,@,WPG,W,0,1,1,0,0,0,0,0,0,1,0,0,4,0,24,17:23,0,0,0,0,
11,10/27/18,11,21-175,TOR_RW,,WPG,W,0,2,2,1,0,0,0,0,0,2,0,0,2,0,25,20:26,1,0,0,0,
12,10/29/18,12,21-177,TOR_RW,,CGY,L,0,1,1,-2,0,0,0,0,0,0,1,0,2,0,26,22:35,2,0,0,2,0
13,11/1/18,13,21-180,TOR_RW,,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,26,23:12,1,0,0,0,
14,11/3/18,14,21-182,TOR_RW,@,PIT,W,0,2,2,2,0,0,0,0,0,1,1,0,6,0,28,20:53,1,1,0,0,
15,11/6/18,15,21-185,TOR_RW,,VEG,W,1,0,1,1,2,1,0,0,1,0,0,0,4,25,23,20:27,0,2,0,0,
16,11/9/18,16,21-188,TOR_RW,,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0,23,19:07,0,0,0,0,
17,11/10/18,17,21-189,TOR_RW,@,BOS,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0,26,18:17,0,0,0,0,
18,11/13/18,18,21-192,TOR_RW,@,LAK,W,0,2,2,1,2,0,0,0,0,0,2,0,3,0,27,18:43,0,0,0,0,
19,11/15/18,19,21-194,TOR_RW,@,SJS,W,1,2,3,2,0,1,0,0,0,1,0,1,4,25,27,18:27,0,0,0,0,
20,11/16/18,20,21-195,TOR_RW,@,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,26,19:31,0,0,0,0,
21,11/19/18,21,21-198,TOR_RW,,CBJ,W,0,2,2,2,0,0,0,0,0,2,0,0,6,0,25,16:16,0,0,0,0,
22,11/21/18,22,21-200,TOR_RW,@,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,27,19:26,0,0,0,0,
23,11/23/18,23,21-202,TOR_RW,@,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,26,23:35,0,0,0,0,
24,11/24/18,24,21-203,TOR_RW,,PHI,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0,22,14:54,0,1,0,0,
25,11/26/18,25,21-205,TOR_RW,,BOS,W,0,3,3,2,0,0,0,0,0,3,0,0,2,0,23,21:49,2,0,0,0,
26,11/28/18,26,21-207,TOR_RW,,SJS,W,0,3,3,0,0,0,0,0,0,1,2,0,1,0,24,18:30,0,0,1,0,100
27,12/1/18,27,21-210,TOR_RW,@,MIN,W,0,2,2,0,0,0,0,0,0,1,1,0,0,,24,17:38,0,0,0,0,
28,12/4/18,28,21-213,TOR_RW,@,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,31,22:20,0,0,0,0,
29,12/6/18,29,21-215,TOR_RW,,DET,L-OT,0,1,1,-1,2,0,0,0,0,1,0,0,1,0,30,21:00,0,1,0,0,
30,12/8/18,30,21-217,TOR_RW,@,BOS,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,27,19:07,1,0,0,0,
